18/10/21 03:24:02 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.10-hadoop2
18/10/21 03:24:02 INFO client.RMProxy: Connecting to ResourceManager at cluster-csci572-hw3-m/10.138.0.2:8032
18/10/21 03:24:04 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
18/10/21 03:24:05 INFO gcsio.GoogleCloudStorage: Repairing batch of 1 missing directories.
18/10/21 03:24:05 INFO gcsio.GoogleCloudStorage: Successfully repaired 1/1 implicit directories.
18/10/21 03:24:06 INFO input.FileInputFormat: Total input files to process : 74
18/10/21 03:24:06 INFO mapreduce.JobSubmitter: number of splits:74
18/10/21 03:24:06 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1540057669018_0022
18/10/21 03:24:06 INFO impl.YarnClientImpl: Submitted application application_1540057669018_0022
18/10/21 03:24:06 INFO mapreduce.Job: The url to track the job: http://cluster-csci572-hw3-m:8088/proxy/application_1540057669018_0022/
18/10/21 03:24:06 INFO mapreduce.Job: Running job: job_1540057669018_0022
18/10/21 03:24:13 INFO mapreduce.Job: Job job_1540057669018_0022 running in uber mode : false
18/10/21 03:29:42 INFO mapreduce.Job:  map 90% reduce 0%
18/10/21 03:29:56 INFO mapreduce.Job:  map 91% reduce 0%
18/10/21 03:29:59 INFO mapreduce.Job:  map 92% reduce 0%
18/10/21 03:30:00 INFO mapreduce.Job:  map 93% reduce 0%
18/10/21 03:30:01 INFO mapreduce.Job:  map 94% reduce 0%
18/10/21 03:30:04 INFO mapreduce.Job:  map 95% reduce 0%
18/10/21 03:30:05 INFO mapreduce.Job:  map 96% reduce 0%
18/10/21 03:30:11 INFO mapreduce.Job:  map 97% reduce 0%
18/10/21 03:30:13 INFO mapreduce.Job:  map 99% reduce 0%
18/10/21 03:30:14 INFO mapreduce.Job:  map 100% reduce 0%
18/10/21 03:30:31 INFO mapreduce.Job:  map 100% reduce 7%
18/10/21 03:30:32 INFO mapreduce.Job:  map 100% reduce 11%
18/10/21 03:30:34 INFO mapreduce.Job:  map 100% reduce 15%
18/10/21 03:30:35 INFO mapreduce.Job:  map 100% reduce 22%
18/10/21 03:30:36 INFO mapreduce.Job:  map 100% reduce 29%
18/10/21 03:30:37 INFO mapreduce.Job:  map 100% reduce 34%
18/10/21 03:30:38 INFO mapreduce.Job:  map 100% reduce 38%
18/10/21 03:30:39 INFO mapreduce.Job:  map 100% reduce 42%
18/10/21 03:30:40 INFO mapreduce.Job:  map 100% reduce 43%
18/10/21 03:30:41 INFO mapreduce.Job:  map 100% reduce 44%
18/10/21 03:30:43 INFO mapreduce.Job:  map 100% reduce 46%
18/10/21 03:30:44 INFO mapreduce.Job:  map 100% reduce 47%
18/10/21 03:30:45 INFO mapreduce.Job:  map 100% reduce 48%
18/10/21 03:30:46 INFO mapreduce.Job:  map 100% reduce 49%
18/10/21 03:30:47 INFO mapreduce.Job:  map 100% reduce 50%
18/10/21 03:30:49 INFO mapreduce.Job:  map 100% reduce 52%
18/10/21 03:30:50 INFO mapreduce.Job:  map 100% reduce 53%
18/10/21 03:30:52 INFO mapreduce.Job:  map 100% reduce 54%
18/10/21 03:30:53 INFO mapreduce.Job:  map 100% reduce 55%
18/10/21 03:30:54 INFO mapreduce.Job:  map 100% reduce 56%
18/10/21 03:30:55 INFO mapreduce.Job:  map 100% reduce 58%
18/10/21 03:30:57 INFO mapreduce.Job:  map 100% reduce 59%
18/10/21 03:30:59 INFO mapreduce.Job:  map 100% reduce 60%
18/10/21 03:31:00 INFO mapreduce.Job:  map 100% reduce 64%
18/10/21 03:31:01 INFO mapreduce.Job:  map 100% reduce 65%
18/10/21 03:31:02 INFO mapreduce.Job:  map 100% reduce 66%
18/10/21 03:31:04 INFO mapreduce.Job:  map 100% reduce 67%
18/10/21 03:31:06 INFO mapreduce.Job:  map 100% reduce 68%
18/10/21 03:31:07 INFO mapreduce.Job:  map 100% reduce 70%
18/10/21 03:31:09 INFO mapreduce.Job:  map 100% reduce 71%
18/10/21 03:31:11 INFO mapreduce.Job:  map 100% reduce 72%
18/10/21 03:31:13 INFO mapreduce.Job:  map 100% reduce 74%
18/10/21 03:31:14 INFO mapreduce.Job:  map 100% reduce 75%
18/10/21 03:31:15 INFO mapreduce.Job:  map 100% reduce 76%
18/10/21 03:31:17 INFO mapreduce.Job:  map 100% reduce 77%
18/10/21 03:31:18 INFO mapreduce.Job:  map 100% reduce 78%
18/10/21 03:31:19 INFO mapreduce.Job:  map 100% reduce 79%
18/10/21 03:31:20 INFO mapreduce.Job:  map 100% reduce 80%
18/10/21 03:31:21 INFO mapreduce.Job:  map 100% reduce 81%
18/10/21 03:31:23 INFO mapreduce.Job:  map 100% reduce 82%
18/10/21 03:31:24 INFO mapreduce.Job:  map 100% reduce 83%
18/10/21 03:31:25 INFO mapreduce.Job:  map 100% reduce 84%
18/10/21 03:31:26 INFO mapreduce.Job:  map 100% reduce 85%
18/10/21 03:31:28 INFO mapreduce.Job:  map 100% reduce 86%
18/10/21 03:31:30 INFO mapreduce.Job:  map 100% reduce 87%
18/10/21 03:31:31 INFO mapreduce.Job:  map 100% reduce 88%
18/10/21 03:31:34 INFO mapreduce.Job:  map 100% reduce 89%
18/10/21 03:31:36 INFO mapreduce.Job:  map 100% reduce 90%
18/10/21 03:31:37 INFO mapreduce.Job:  map 100% reduce 92%
18/10/21 03:31:42 INFO mapreduce.Job:  map 100% reduce 94%
18/10/21 03:31:44 INFO mapreduce.Job:  map 100% reduce 95%
18/10/21 03:31:48 INFO mapreduce.Job:  map 100% reduce 97%
18/10/21 03:31:54 INFO mapreduce.Job:  map 100% reduce 98%
18/10/21 03:32:02 INFO mapreduce.Job:  map 100% reduce 99%
18/10/21 03:32:14 INFO mapreduce.Job:  map 100% reduce 100%
18/10/21 03:32:27 INFO mapreduce.Job: Job job_1540057669018_0022 completed successfully
18/10/21 03:32:28 INFO mapreduce.Job: Counters: 56
	File System Counters
		FILE: Number of bytes read=19800596947
		FILE: Number of bytes written=30130751522
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		GS: Number of bytes read=3358558058
		GS: Number of bytes written=91427584
		GS: Number of read operations=0
		GS: Number of large read operations=0
		GS: Number of write operations=0
		HDFS: Number of bytes read=10508
		HDFS: Number of bytes written=0
		HDFS: Number of read operations=74
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=0
	Job Counters 
		Killed map tasks=1
		Killed reduce tasks=1
		Launched map tasks=75
		Launched reduce tasks=12
		Rack-local map tasks=75
		Total time spent by all maps in occupied slots (ms)=11397714
		Total time spent by all reduces in occupied slots (ms)=3127401
		Total time spent by all map tasks (ms)=3799238
		Total time spent by all reduce tasks (ms)=1042467
		Total vcore-milliseconds taken by all map tasks=3799238
		Total vcore-milliseconds taken by all reduce tasks=1042467
		Total megabyte-milliseconds taken by all map tasks=11671259136
		Total megabyte-milliseconds taken by all reduce tasks=3202458624
	Map-Reduce Framework
		Map input records=74
		Map output records=542247153
		Map output bytes=9234212656
		Map output materialized bytes=10318711846
		Input split bytes=10508
		Combine input records=0
		Combine output records=0
		Reduce input groups=1076758
		Reduce shuffle bytes=10318711846
		Reduce input records=542247153
		Reduce output records=1076758
		Spilled Records=1582634794
		Shuffled Maps =814
		Failed Shuffles=0
		Merged Map outputs=814
		GC time elapsed (ms)=840927
		CPU time spent (ms)=4268680
		Physical memory (bytes) snapshot=143111569408
		Virtual memory (bytes) snapshot=374183034880
		Total committed heap usage (bytes)=142674493440
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=3358558058
	File Output Format Counters 
		Bytes Written=91427584
Job output is complete
